,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAY_HD,SO_HD,MA_NCC,TEN_NCC,QUỐC_GIA,MA_HANG,TEN_HANG,ĐVT,LOAI_TIEN,TY_GIA,SL_NHẬP,NGUYEN_GIA_TRUOC CK,NGUYEN_GIA_SAU CK,GIA_BAO_BI,GIA_TAU,TONG_TRI_GIA_HANG,HÌNH THỨC THANH TOÁN,TY_LE_COC_HD,"TIEN_COC /
KY_QUY
DU_KIEN",KEY_HD,KEY_HANG,SO_NGAY_HAN_DAT_COC,NGÀY_DỰ_KIẾN_CỌC,DA_COC_HD,COC_CON_THIEU_HD,TONG_TIEN_CON_PHAI_TT,SL_HANG_DA_VE,SL_HANG_CHUA_VE,TRI_GIA_HANG_DA_VE,COC_TRU_HANG_DA_VE,TIEN_PHAI_TT_HANG_DA_VE,TONG_TIEN_DU_TRU_7N,SO_LO_CON,CANH_BAO,GHI_CHU,COC_DU_TRU,FLAG_COC_7N,FLAG_COC_15N,FLAG_COC_30N,KEY
2/24/2026,SOE/26 0242,2024.F.GEMINI,GEMINI CORPORATION N.V.,BELGIUM,SMO.K1200.B.80SE,Nguyên liệu phân bón hữu cơ 80OM Anh,Tấn,EURO,"  32,000 ",125,  235.00 ,  235.00 ,  -   ,  -   ,"29,375",TT,10%,"2,938",2024.F.GEMINI|SOE/26 0242,2024.F.GEMINI|SOE/26 0242|SMO.K1200.B.80SE,,,"2,938",-,"26,438",-,125,-,-,-,-,1,OK,,-,0,0,0,2024.F.GEMINI|SOE/26 0242
1/1/2026,25VGA-JGR-18,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.2015GSC,Nguyên Liệu NPK 20.20.15+TE,Tấn,USD,"  26,800 ",260,  545.00 ,  545.00 ,,,"141,700",TT,10%,"14,170",2024.F.GREENERY|25VGA-JGR-18,2024.F.GREENERY|25VGA-JGR-18|SMH.K10.B.2015GSC,,,-,"14,170","141,700",260,-,"141,700","14,170","127,530",-,1,CÒN CỌC CHƯA PHÂN BỔ,,"14,170",0,0,0,2024.F.GREENERY|25VGA-JGR-18
2/3/2026,26VGA-JGR-01,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.2015GSC,Nguyên Liệu NPK 20.20.15+TE,Tấn,USD,"  26,800 ",260,  560.00 ,  560.00 ,,,"145,600",TT,10%,"14,560",2024.F.GREENERY|26VGA-JGR-01,2024.F.GREENERY|26VGA-JGR-01|SMH.K10.B.2015GSC,,,-,"14,560","145,600",260,-,"145,600","14,560","131,040",-,1,CÒN CỌC CHƯA PHÂN BỔ,,"14,560",0,0,0,2024.F.GREENERY|26VGA-JGR-01
3/12/2026,26VGA-JGR-06,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.2015GSC,Nguyên Liệu NPK 20.20.15+TE,Tấn,USD,"  26,800 ",520,  603.00 ,  603.00 ,,,"313,560",TT,20%,"62,712",2024.F.GREENERY|26VGA-JGR-06,2024.F.GREENERY|26VGA-JGR-06|SMH.K10.B.2015GSC,,,"62,712",-,"250,848",-,520,-,-,-,-,1,OK,,-,0,0,0,2024.F.GREENERY|26VGA-JGR-06
3/6/2026,26VGA-JGR-04,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.T100.3010BTSC,Nguyên Liệu NPK 30.10.10 chuẩn 95 tan 100%,Tấn,USD,"  26,800 ",470,  480.00 ,  480.00 ,,,"225,600",TT,20%,"45,120",2024.F.GREENERY|26VGA-JGR-04,2024.F.GREENERY|26VGA-JGR-04|SMH.K10.B.T100.3010BTSC,,,"45,120",-,"180,480",-,470,-,-,-,-,1,OK,,-,0,0,0,2024.F.GREENERY|26VGA-JGR-04
3/11/2026,26VGA-JGR-05,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.T100.3010BTSC,Nguyên Liệu NPK 30.10.10 chuẩn 95 tan 100%,Tấn,USD,"  26,800 ",470,  487.00 ,  487.00 ,,,"228,890",TT,20%,"45,778",2024.F.GREENERY|26VGA-JGR-05,2024.F.GREENERY|26VGA-JGR-05|SMH.K10.B.T100.3010BTSC,,,"45,778",-,"183,112",-,470,-,-,-,-,1,OK,,-,0,0,0,2024.F.GREENERY|26VGA-JGR-05
3/6/2026,26VGA-JGR-02,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.1717GSC,Nguyên liệu 17.17.17 KCL,Tấn,USD,"  26,800 ",108,  580.00 ,  580.00 ,,,"62,640",TT,20%,"12,528",2024.F.GREENERY|26VGA-JGR-02,2024.F.GREENERY|26VGA-JGR-02|SMH.K10.B.1717GSC,,,"12,528",-,"50,112",-,108,-,-,-,-,1,OK,,-,0,0,0,2024.F.GREENERY|26VGA-JGR-02
3/19/2026,26VGA-JGR-07,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.1717GSC,Nguyên liệu 17.17.17 KCL,Tấn,USD,"  26,800 ",270,  588.00 ,  588.00 ,,,"158,760",TT,20%,"31,752",2024.F.GREENERY|26VGA-JGR-07,2024.F.GREENERY|26VGA-JGR-07|SMH.K10.B.1717GSC,,,"31,752",-,"127,008",-,270,-,-,-,-,1,OK,,-,0,0,0,2024.F.GREENERY|26VGA-JGR-07
3/6/2026,26VGA-JGR-03,2024.F.GREENERY,"QINGDAO GREENERY CHEMICAL CO., LTD",CHINA,SMH.K10.B.177GSC,Nguyên liệu 17.7.17+MgO+TE Tháp cao,Tấn,USD,"  26,800 ",162,  442.00 ,  442.00 ,,,"71,604",TT,20%,"14,321",2024.F.GREENERY|26VGA-JGR-03,2024.F.GREENERY|26VGA-JGR-03|SMH.K10.B.177GSC,,,"14,321",0,"57,283",-,162,-,-,-,-,1,CÒN CỌC CHƯA PHÂN BỔ,,0,0,0,0,2024.F.GREENERY|26VGA-JGR-03
12/12/2025,26VL-KS-02,2024.F.K+S,K+S ASIA PACIFIC PTE. LTD,SINGAPORE,SMH.K25.B.PT50VSD,Phân bón Potas Viên 50 Đức,Tấn,USD,"  26,800 ",84,  665.00 ,  655.00 ,  -   ,  -   ,"55,020",TT,0%,-,2024.F.K+S|26VL-KS-02,2024.F.K+S|26VL-KS-02|SMH.K25.B.PT50VSD,,,-,-,"55,020",84,-,"55,020",-,"55,020",-,1,OK,,-,0,0,0,2024.F.K+S|26VL-KS-02
